stage_n,log_lr_accept,log_lr_reject,accept_if_defects_le,reject_if_defects_ge,continue_defects_from,continue_defects_to
112,-8.94,4.32,,,0,112
113,-8.94,4.32,,,0,113
114,-8.94,4.32,,,0,114
115,-8.94,4.32,,,0,115
116,-8.94,4.32,,,0,116
117,-8.94,4.32,,,0,117
118,-8.94,4.32,,,0,118
119,-8.94,4.32,,,0,119
120,-8.94,4.32,,,0,120
121,-8.94,4.32,,,0,121
122,-8.94,4.32,,,0,122
123,-8.94,4.32,,,0,123
124,-8.94,4.32,,,0,124
125,-8.94,4.32,,,0,125
126,-8.94,4.32,,,0,126
127,-8.94,4.32,,,0,127
128,-8.94,4.32,,,0,128
129,-8.94,4.32,,,0,129
130,-8.94,4.32,,,0,130
131,-8.94,4.32,,,0,131
132,-8.94,4.32,,,0,132
133,-8.94,4.32,,,0,133
134,-8.94,4.32,,,0,134
135,-8.94,4.32,,,0,135
136,-8.94,4.32,,,0,136
137,-8.94,4.32,,,0,137
138,-8.94,4.32,,,0,138
139,-8.94,4.32,,,0,139
140,-8.94,4.32,,,0,140
141,-8.94,4.32,,,0,141
142,-8.94,4.32,,,0,142
143,-8.94,4.32,,,0,143
144,-8.94,4.32,,,0,144
145,-8.94,4.32,,,0,145
146,-8.94,4.32,,,0,146
147,-8.94,4.32,,,0,147
148,-8.94,4.32,,,0,148
149,-8.94,4.32,,,0,149
150,-8.94,4.32,,,0,150
151,-8.94,4.32,,,0,151
152,-8.94,4.32,,,0,152
153,-8.94,4.32,,,0,153
154,-8.94,4.32,,,0,154
155,-8.94,4.32,,,0,155
156,-8.94,4.32,,,0,156
157,-8.94,4.32,0,,1,157
158,-8.94,4.32,0,,1,158
159,-8.94,4.32,0,,1,159
160,-8.94,4.32,0,,1,160
161,-8.94,4.32,0,,1,161
162,-8.94,4.32,0,,1,162
163,-8.94,4.32,0,,1,163
164,-8.94,4.32,0,,1,164
165,-8.94,4.32,1,,2,165
166,-8.94,4.32,1,,2,166
167,-8.94,4.32,1,,2,167
168,-8.94,4.32,1,,2,168
169,-8.94,4.32,1,,2,169
170,-8.94,4.32,1,,2,170
171,-8.94,4.32,1,,2,171
172,-8.94,4.32,1,,2,172
173,-8.94,4.32,2,,3,173
174,-8.94,4.32,2,,3,174
175,-8.94,4.32,2,,3,175
176,-8.94,4.32,2,,3,176
177,-8.94,4.32,2,,3,177
178,-8.94,4.32,2,,3,178
179,-8.94,4.32,2,,3,179
180,-8.94,4.32,2,32,3,31
181,-8.94,4.32,3,32,4,31
182,-8.94,4.32,3,32,4,31
183,-8.94,4.32,3,32,4,31
184,-8.94,4.32,3,33,4,32
185,-8.94,4.32,3,33,4,32
186,-8.94,4.32,3,33,4,32
187,-8.94,4.32,3,33,4,32
188,-8.94,4.32,3,33,4,32
189,-8.94,4.32,4,33,5,32
190,-8.94,4.32,4,33,5,32
191,-8.94,4.32,4,33,5,32
192,-8.94,4.32,4,34,5,33
193,-8.94,4.32,4,34,5,33
194,-8.94,4.32,4,34,5,33
195,-8.94,4.32,4,34,5,33
196,-8.94,4.32,4,34,5,33
197,-8.94,4.32,5,34,6,33
198,-8.94,4.32,5,34,6,33
199,-8.94,4.32,5,34,6,33
200,-8.94,4.32,5,35,6,34
201,-8.94,4.32,5,35,6,34
202,-8.94,4.32,5,35,6,34
203,-8.94,4.32,5,35,6,34
204,-8.94,4.32,5,35,6,34
205,-8.94,4.32,6,35,7,34
206,-8.94,4.32,6,35,7,34
207,-8.94,4.32,6,35,7,34
208,-8.94,4.32,6,36,7,35
209,-8.94,4.32,6,36,7,35
210,-8.94,4.32,6,36,7,35
211,-8.94,4.32,6,36,7,35
212,-8.94,4.32,6,36,7,35
213,-8.94,4.32,6,36,7,35
214,-8.94,4.32,7,36,8,35
215,-8.94,4.32,7,36,8,35
216,-8.94,4.32,7,37,8,36
217,-8.94,4.32,7,37,8,36
218,-8.94,4.32,7,37,8,36
219,-8.94,4.32,7,37,8,36
220,-8.94,4.32,7,37,8,36
221,-8.94,4.32,7,37,8,36
222,-8.94,4.32,8,37,9,36
223,-8.94,4.32,8,37,9,36
224,-8.94,4.32,8,38,9,37
225,-8.94,4.32,8,38,9,37
226,-8.94,4.32,8,38,9,37
227,-8.94,4.32,8,38,9,37
228,-8.94,4.32,8,38,9,37
229,-8.94,4.32,8,38,9,37
230,-8.94,4.32,9,38,10,37
231,-8.94,4.32,9,38,10,37
232,-8.94,4.32,9,39,10,38
233,-8.94,4.32,9,39,10,38
234,-8.94,4.32,9,39,10,38
235,-8.94,4.32,9,39,10,38
236,-8.94,4.32,9,39,10,38
237,-8.94,4.32,9,39,10,38
238,-8.94,4.32,10,39,11,38
239,-8.94,4.32,10,39,11,38
240,-8.94,4.32,10,39,11,38
241,-8.94,4.32,10,40,11,39
242,-8.94,4.32,10,40,11,39
243,-8.94,4.32,10,40,11,39
244,-8.94,4.32,10,40,11,39
245,-8.94,4.32,10,40,11,39
246,-8.94,4.32,11,40,12,39
247,-8.94,4.32,11,40,12,39
248,-8.94,4.32,11,40,12,39
249,-8.94,4.32,11,41,12,40
250,-8.94,4.32,11,41,12,40
251,-8.94,4.32,11,41,12,40
252,-8.94,4.32,11,41,12,40
253,-8.94,4.32,11,41,12,40
254,-8.94,4.32,12,41,13,40
255,-8.94,4.32,12,41,13,40
256,-8.94,4.32,12,41,13,40
257,-8.94,4.32,12,42,13,41
258,-8.94,4.32,12,42,13,41
259,-8.94,4.32,12,42,13,41
260,-8.94,4.32,12,42,13,41
261,-8.94,4.32,12,42,13,41
262,-8.94,4.32,13,42,14,41
263,-8.94,4.32,13,42,14,41
264,-8.94,4.32,13,42,14,41
265,-8.94,4.32,13,43,14,42
266,-8.94,4.32,13,43,14,42
267,-8.94,4.32,13,43,14,42
268,-8.94,4.32,13,43,14,42
269,-8.94,4.32,13,43,14,42
270,-8.94,4.32,14,43,15,42
271,-8.94,4.32,14,43,15,42
272,-8.94,4.32,14,43,15,42
273,-8.94,4.32,14,44,15,43
274,-8.94,4.32,14,44,15,43
275,-8.94,4.32,14,44,15,43
276,-8.94,4.32,14,44,15,43
277,-8.94,4.32,14,44,15,43
278,-8.94,4.32,15,44,16,43
279,-8.94,4.32,15,44,16,43
280,-8.94,4.32,15,44,16,43
281,-8.94,4.32,15,45,16,44
282,-8.94,4.32,15,45,16,44
283,-8.94,4.32,15,45,16,44
284,-8.94,4.32,15,45,16,44
285,-8.94,4.32,15,45,16,44
286,-8.94,4.32,16,45,17,44
287,-8.94,4.32,16,45,17,44
288,-8.94,4.32,16,45,17,44
289,-8.94,4.32,16,46,17,45
290,-8.94,4.32,16,46,17,45
291,-8.94,4.32,16,46,17,45
292,-8.94,4.32,16,46,17,45
293,-8.94,4.32,16,46,17,45
294,-8.94,4.32,16,46,17,45
295,-8.94,4.32,17,46,18,45
296,-8.94,4.32,17,46,18,45
297,-8.94,4.32,17,47,18,46
298,-8.94,4.32,17,47,18,46
299,-8.94,4.32,17,47,18,46
300,-8.94,4.32,17,47,18,46
301,-8.94,4.32,17,47,18,46
302,-8.94,4.32,17,47,18,46
303,-8.94,4.32,18,47,19,46
304,-8.94,4.32,18,47,19,46
305,-8.94,4.32,18,48,19,47
306,-8.94,4.32,18,48,19,47
307,-8.94,4.32,18,48,19,47
308,-8.94,4.32,18,48,19,47
309,-8.94,4.32,18,48,19,47
310,-8.94,4.32,18,48,19,47
311,-8.94,4.32,19,48,20,47
312,-8.94,4.32,19,48,20,47
313,-8.94,4.32,19,49,20,48
314,-8.94,4.32,19,49,20,48
315,-8.94,4.32,19,49,20,48
316,-8.94,4.32,19,49,20,48
317,-8.94,4.32,19,49,20,48
318,-8.94,4.32,19,49,20,48
319,-8.94,4.32,20,49,21,48
320,-8.94,4.32,20,49,21,48
321,-8.94,4.32,20,49,21,48
322,-8.94,4.32,20,50,21,49
323,-8.94,4.32,20,50,21,49
324,-8.94,4.32,20,50,21,49
325,-8.94,4.32,20,50,21,49
326,-8.94,4.32,20,50,21,49
327,-8.94,4.32,21,50,22,49
328,-8.94,4.32,21,50,22,49
329,-8.94,4.32,21,50,22,49
330,-8.94,4.32,21,51,22,50
331,-8.94,4.32,21,51,22,50
332,-8.94,4.32,21,51,22,50
333,-8.94,4.32,21,51,22,50
334,-8.94,4.32,21,51,22,50
335,-8.94,4.32,22,51,23,50
336,-8.94,4.32,22,51,23,50
337,-8.94,4.32,22,51,23,50
338,-8.94,4.32,22,52,23,51
339,-8.94,4.32,22,52,23,51
340,-8.94,4.32,22,52,23,51
341,-8.94,4.32,22,52,23,51
342,-8.94,4.32,22,52,23,51
343,-8.94,4.32,23,52,24,51
344,-8.94,4.32,23,52,24,51
345,-8.94,4.32,23,52,24,51
346,-8.94,4.32,23,53,24,52
347,-8.94,4.32,23,53,24,52
348,-8.94,4.32,23,53,24,52
349,-8.94,4.32,23,53,24,52
350,-8.94,4.32,23,53,24,52
351,-8.94,4.32,24,53,25,52
352,-8.94,4.32,24,53,25,52
353,-8.94,4.32,24,53,25,52
354,-8.94,4.32,24,54,25,53
355,-8.94,4.32,24,54,25,53
356,-8.94,4.32,24,54,25,53
357,-8.94,4.32,24,54,25,53
358,-8.94,4.32,24,54,25,53
359,-8.94,4.32,25,54,26,53
360,-8.94,4.32,25,54,26,53
361,-8.94,4.32,25,54,26,53
362,-8.94,4.32,25,55,26,54
363,-8.94,4.32,25,55,26,54
364,-8.94,4.32,25,55,26,54
365,-8.94,4.32,25,55,26,54
366,-8.94,4.32,25,55,26,54
367,-8.94,4.32,26,55,27,54
368,-8.94,4.32,29,47,30,46
