param_id,sample_size,assumed_defective_count,nominal_rate_from_table,point_estimate,ci_lower,ci_upper,ci_width,assumption_note
q2_case6_p1,400,20,0.05,0.05,0.030805241143265966,0.07616697275514267,0.045361731611876704,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case6_p2,400,20,0.05,0.05,0.030805241143265966,0.07616697275514267,0.045361731611876704,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case6_pf,400,20,0.05,0.05,0.030805241143265966,0.07616697275514267,0.045361731611876704,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case1_p1,1000,100,0.1,0.1,0.08210533435557998,0.12028793651869246,0.03818260216311248,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case1_p2,1000,100,0.1,0.1,0.08210533435557998,0.12028793651869246,0.03818260216311248,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case1_pf,1000,100,0.1,0.1,0.08210533435557998,0.12028793651869246,0.03818260216311248,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case2_p1,1000,200,0.2,0.2,0.1756205748308423,0.22615937282137072,0.050538797990528406,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case2_p2,1000,200,0.2,0.2,0.1756205748308423,0.22615937282137072,0.050538797990528406,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case2_pf,1000,200,0.2,0.2,0.1756205748308423,0.22615937282137072,0.050538797990528406,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case3_p1,1000,100,0.1,0.1,0.08210533435557998,0.12028793651869246,0.03818260216311248,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case3_p2,1000,100,0.1,0.1,0.08210533435557998,0.12028793651869246,0.03818260216311248,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case3_pf,1000,100,0.1,0.1,0.08210533435557998,0.12028793651869246,0.03818260216311248,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case4_p1,1000,200,0.2,0.2,0.1756205748308423,0.22615937282137072,0.050538797990528406,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case4_p2,1000,200,0.2,0.2,0.1756205748308423,0.22615937282137072,0.050538797990528406,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case4_pf,1000,200,0.2,0.2,0.1756205748308423,0.22615937282137072,0.050538797990528406,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case5_p1,1000,100,0.1,0.1,0.08210533435557998,0.12028793651869246,0.03818260216311248,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case5_p2,1000,200,0.2,0.2,0.1756205748308423,0.22615937282137072,0.050538797990528406,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case5_pf,1000,100,0.1,0.1,0.08210533435557998,0.12028793651869246,0.03818260216311248,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case6_p1,1000,50,0.05,0.05,0.03733539760466176,0.06539048791549357,0.02805509031083181,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case6_p2,1000,50,0.05,0.05,0.03733539760466176,0.06539048791549357,0.02805509031083181,"sample size and defective count are modeling assumptions, not data given by the problem"
q2_case6_pf,1000,50,0.05,0.05,0.03733539760466176,0.06539048791549357,0.02805509031083181,"sample size and defective count are modeling assumptions, not data given by the problem"
